Date,case_nor_03d,case_nor_05d,case_05d,Location,Athens,Circleville,Jackson_Pike,Lancaster,Marietta,Marysville,Newark,Southerly,Zanesville,Average_RNA_Conc,Average_PMMoV,Average_crAssphage,Ave_N2,Flowrate_Sample,Rainfall_24hr,WQ_pH,TAVE,WQ_TSS,Weekday,Sewertype,Population,Medium_Income,Poverty,Cmlt_testing_site,Overall_SVI,Socioeconomic_SVI1,Household_SVI2,Minority_SVI3,Transportation _SVI4
10/6/20,17,16,102,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,1686000,85760000,8400,68000000,0,6.65,21,242,Y,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/6/20,21,27,7,Lancaster,0,0,0,1,0,0,0,0,0,15.8,1308000,29190000,3625,3800000,0,7.25,19.9,368,Y,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/6/20,11,10,2,Marietta,0,0,0,0,1,0,0,0,0,26.5,1224900,94624000,2798,1783000,0.05,7.1,24,188,Y,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/6/20,32,28,7,Marysville,0,0,0,0,0,1,0,0,0,14.15,1685200,143836400,4100,3000000,0.18,7.725,18.75,200,Y,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/6/20,10,13,6,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,4200,5350000,0.19,7.57,18.55,148,Y,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/6/20,15,14,92,Southerly,0,0,0,0,0,0,0,1,0,3.05,1520000,78335000,7000,76600000,0,7,19.45,220,Y,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/6/20,22,18,9,Zanesville,0,0,0,0,0,0,0,0,1,102.75,1628280,89331800,12417,3100000,0.31,7.5,,250,Y,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
10/11/20,76,81,20,Athens,1,0,0,0,0,0,0,0,0,6.2,4200000,52720000,13533,1645000,0.1,7.8,21.5,304,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/11/20,10,10,1,Circleville,0,1,0,0,0,0,0,0,0,10.6,1082840,94419600,5060,1420000,0.01,7.63,20.15,208,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
10/11/20,15,16,103,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,1326960,100183200,8512,59900000,0,6.9,21,171,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/11/20,22,17,4,Lancaster,0,0,0,1,0,0,0,0,0,4.5,641720,18199600,1578,4000000,0.24,7.3,19.5,511,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/11/20,28,25,4,Marietta,0,0,0,0,1,0,0,0,0,7,1011360,108979200,5762,1563000,0.12,7,22.5,220,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/11/20,20,26,6,Marysville,0,0,0,0,0,1,0,0,0,4.7,2402400,181381200,2464,2810000,0,8.205,19.5,180,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/11/20,27,30,14,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,3333,5570000,0,7.75,18.65,148,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/11/20,14,15,96,Southerly,0,0,0,0,0,0,0,1,0,3.05,2249100,110887000,4165,76700000,0,7,19.67,198,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/11/20,20,22,10,Zanesville,0,0,0,0,0,0,0,0,1,13.4,3030720,150224000,7653,3200000,0.1,7.6,,262,N,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
